name,summary,location,phone,email,website,person,designation,source_link
Hive Worx (Pvt.) Ltd.,,,,,,,,https://www.pasha.org.pk/d/l/hive-worx-pvt-ltd/
UfvTechSol ™ (Pvt) Ltd,"Founded in 2014, UfvTechSol™️(Pvt) Ltd provides Advance and Innovative Information Technology Services & the enterprise Solutions that drive your workplace processes through advanced technology and business expertise — we have a simple & focused goal: make a difference. We Make your deals perfect and turn your idea into a scalable business!
","G.T Road Barikot District Swat KPK Pakistan, Khyber Pakhtunkhwa, Pakistan 25000",9.23367E+11,ufvtechsol@gmail.com,https://ufvts.com/,Umar Farooq,CEO,https://www.pasha.org.pk/d/l/ufvtechsol-pvt-ltd/
Zones Inc,"Zones Inc has a venerable history of over 32 years around the globe. Zones PK was successfully launched in November 2017, bringing to our people the ease of accessibility between business and technology.
We are entering this new journey with the mission to lead the market and earn success. The ultimate mark of excellence is independent, and the workforce of Zones PK has it all to take the lead in the future.
","Plot # 177, Industrial Area I-10/3, Urban, Islamabad, Islamabad Capital Territory, Pakistan 46000",051-4100423,basit.mirza@zones.com,http://www.zones.com.pk,Basit Mirza,Head of HR,https://www.pasha.org.pk/d/l/zones-inc/
1 To N (Pvt.) Ltd,"1 To N Pvt. Ltd. is provider of customized and prepackaged software solutions on multiple platforms such as desktop, web based or on mobile devices. We specialize in business process automation. Currently, we offer prepackaged products in the domain of accounts and finance, information systems, mobile applications, web development and gaming.
","House # 1-B, Al-Meher Colony, E-11, Islamabad, Islamabad Capital Territory, Pakistan 46000",92518732143,info@1-to-n.com,http://1-to-n.com,Dr Usama Khalid Bukhari,CEO,https://www.pasha.org.pk/d/l/1-to-n-pvt-ltd/
110 Solutions,"We fabricate stable long-haul associations with our customers. This allows our continuous development and improvement of our client’s business processes. A significant added value in performing IT projects is a permanent extension of expertise in the area of our core specialties: telecoms, media, finance and the public sector.
Based on our experience in building IT systems and being familiar with the nature of our clients’ business requirements, we can ensure an optimal architecture of IT
","87 타리크 로드, Karachi, Sindh, Pakistan",(9221) 4327478-79,aliya.yousuf@110solutions.com.au,http://www.110solutions.com.au,Aliya yousuf,General Manager,https://www.pasha.org.pk/d/l/110-solutions/
1ST 4 CONNECT (Pvt.) Ltd.,"Our mission is to be the leading company in our designated services areas, providing our clients with high-quality, reliable, exceptional and efficient services, with excellent support. We aim to provide an unparalleled working environment for our employees and to generate sufficient earnings to run the company smoothly and provide predictable returns to our shareholders.
","3 Danepur Road, Lahore, Punjab, Pakistan",tel: +92-42-35408292,farrukh.saeed@1st4connect.com,http://1st4connect.com,FARRUKH SAEED,CEO,https://www.pasha.org.pk/d/l/1st-4-connect-private-limited/
22 Four,"“22FOUR is.. where creative ideas meet unique execution to generate smart solutions”. We are a leading digital agency. Our solutions help our customer to think digital and create innovation. We are committed enabling businesses and brands with technology acceleration to leave a permanent impression on web, digital and mobile platforms.
22FOUR is services integrator that helps clients to capitalise on the latest technologies to boost your competitive advantage . With a rare combination of deep
","22 four 6-B Main Sunset Blvd, D.H.A. Phase 2, Karachi, Sindh, Pakistan",0334-6268644,kamal@22four.com,http://www.22four.com,Kamal Uddin Faridi,CEO,https://www.pasha.org.pk/d/l/22-four/
2B Technologies,,"Suite 1310 & 1311, 13th Floor, National IT Park Caesar's Towers, Shahrah-e-Faisal, Karachi, Sindh, Pakistan",(9221) 111-111-228,qamber.haidry@2bt.com.pk,http://www.2bt.com.pk,Qamber Ali Haidry,CEO,https://www.pasha.org.pk/d/l/2b-technologies/
360 Technologies (Pvt.) Ltd.,"360 Technologies is a chartered company, with focus on delivering technology based solutions to companies around the globe. 360 professionals along with alliance partners provide an unmatched level of domain expertise with a result-oriented approach. The company delivers business value using IT to empower organizations with innovative and scalable technology solutions that increase their competitive advantage and return on investment. Capitalizing on profound industry experiences, extensive tech
","A.K. Fazl-ul-Haq Road, Islamabad, Islamabad Capital Territory, Pakistan",+92 51 280 1286-87,sohail.qureshi@360technologies.net,http://www.360technologies.net,Mohammadd Sohail Qureshi,CEO,https://www.pasha.org.pk/d/l/360-technologies-pvt-ltd/
3SC Technologies (Pvt.) Ltd.,"3SC World is the culmination of 20 years of business success providing services such as technology solutions, consultancy, project management and supply chain management which includes procurement and logistical support on an International level.3SC World is a company built on the synergies of expertise, experience and hard work, which inevitably lead to successful projects and satisfied clientele.
","Office # 311 3rd floor ISE tower Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",,info@3scworld.com,http://www.3scworld.com,Maxoud Shaw,CEO,https://www.pasha.org.pk/d/l/3sc-technologies-pvt-ltd/
3Techno Digital (Pvt.) Ltd.,"As an end-to-end digital service agency, 3Techno facilitates businesses and brands to achieve their digital milestones. Our profound, consolidated approach to business solutions is backed by our intimate knowledge and understanding of the digital landscape. This certainly comes in handy for creating opportunities in places most digital agencies can’t fathom!
At 3Techno we firmly believe the success of our clients directly translates to ours. We aim to be your trusted partner through 
","Suite 203, Windsong Palace, Karachi, Sindh, Pakistan",0332-3392172,fahad@3techno.com,http://3techno.com/,Fahad Jahanzeb Khan,CEO,https://www.pasha.org.pk/d/l/3techno-digital-pvt-ltd/
4S Global (Pvt.) Ltd,"We pride ourselves in meticulously planning the best for our clients; offering solutions like Oracle cloud, Big Data, Platform & Software migrations, backup high availability and DR services based on best practices yet practicable; we take responsibility of leading our clients all along the path to success.
","2 Street 3, Islamabad, Islamabad Capital Territory, Pakistan",,saadat@4sglobal.com.pk,http://www.4sglobal.com.pk,Mir Saadat Ali,CEO,https://www.pasha.org.pk/d/l/4s-global-pvt-ltd/
7Vals,"All the easy problems have been solved already. We’re here to build on them.
We enable businesses to accelerate workflows by focusing on their strengths.
7Vals is global, with customers from over 20% of Fortune 500 companies.
Nurturing employees and refining their skillset makes us better every day.
","264 CCA FF Block DHA, Lahore, Punjab, Pakistan",042-36162595,syed.ali@7vals.com,http://www.7vals.com,Syed Ali,CEO,https://www.pasha.org.pk/d/l/7vals/
A J Ventures (SMC-Pvt) Ltd.,"Are you planning to start a new business but do not have enough investment for marketing? Are you looking for a talented writer but do not know where to find one? Do you need a highly skilled team for your business projects?
You are at the right place! This is what we do at iwant. We provide you with skilled people to get your work done, easily and professionally.
iwant is simple and straightforward. You will not have to go through con
","100 Shahrah-e-Faisal Service Road North, Karachi, Sindh, Pakistan",021 34370141,ahsanjabbar@yahoo.com,http://www.iwant.pk,Ahsan Jabbar,CEO,https://www.pasha.org.pk/d/l/a-j-ventures-smc-pvt-ltd/
A2Z Creatorz,"A2Z Creatorz is one of the leading Web Services providers in their region since last 10 years. Since its establishment in June 2007; A2Z Creatorz has entered into various National, International, and Government based ventures and completed them successfully.
During the short span of time the company has also expanded its business network initiating from Canada to Pakistan and then Middle East, and Saudi Arabia and willing to initiate new business ventures in other potentially strong global m
","C-1, Mezzanine Floor, Sunset Lane # 3, Phase II Ext. DHA, Karachi, Sindh, Pakistan","(9221) 021-5385205-7, 0300-8277718",zohaib@a2zcreators.com,http://www.a2zcreatorz.com,Mohammad Zohaib Khan,CEO,https://www.pasha.org.pk/d/l/a2z-creatorz/
A2Z E-Payments (Pvt.) Ltd.,"Founded in 2006, A2Z Electronic-Payments private limited is a registered company with Security Exchange Commission of Pakistan (SECP). We pledge to follow a basic viewpoint to keep our high quality services simple, on time and smart. We facilitate and provide users friendly solutions in public & private sector by executing the accurate concept of Information Technology (IT). The systems provided by us are efficient, transparent, and secure with stock control, sales tracking, audit trials and
","A2Z E-Payments, -7 (Basement) , Deans Trade Center , Saddar Road, Peshawar, Khyber Pakhtunkhwa, Pakistan","091-111441441, 091-5250315-7",ceo@a2zepayments.com,http://www.a2zepayments.com,Shakir Ullah,CEO,https://www.pasha.org.pk/d/l/a2z-e-payments-pvt-ltd/
AA Intelligent Systems,"The last decade has seen a revolutionary change in how business processes can be improved and more tightly integrated using new technologies. Unfortunately, most of the available solutions require that systems currently deployed by organizations be completely replaced to take advantage of these new technologies. Additionally, the business processes and practices a software solution was based on might not be compatible with all organizations. Each organization has its own specific set of requirem
","245-2-Y, Block 6 P.E.C.H.S., Karachi, Sindh, Pakistan 74600",+92 21 453 9884 (5 lines),jkpathan@aaisystems.com,http://www.aaisystems.com,Jehanzeb Khan Pathan,CEO,https://www.pasha.org.pk/d/l/aa-intelligent-systems/
AALogics (SMC-PVT.) Ltd.,"We started working from the home with a team of two by doing work for our client from United State, he was referred to us by some personal link.
Later, in 2015 we initiated AAlogics at IBA Center for Entrepreneurial Development (CED) with a little initial capital we had earned through previous work.
We secured many international as well as local clients and developing ecommerce sol
","Office #301, 3rd Floor Rim Jhim Center Near Disco Bakery, Block 6, Gulshan-e-Iqbal, Karachi., Karachi, Sindh, Pakistan",tel: 0321-2043624,ceo@aalogics.com,http://www.aalogics.com/,Ali Asif,CEO,https://www.pasha.org.pk/d/l/aalogics-smc-pvt-ltd/
Abacus Consulting Technology (Pvt.) Ltd.,,"Abacus House, Lahore, Punjab, Pakistan",(92 42) 588-4981-5,abbas.khan@abacus-global.com,http://www.abacus-global.com,Abbas Ali Khan,Partner,https://www.pasha.org.pk/d/l/abacus-consulting-technology-pvt-ltd/
ABM INFO TECH (Pvt.) Ltd.,"ABM Group of Companies is one of the strongest Business Houses in the country with business presence in Karachi, Lahore, Islamabad, Dubai and Uzbekistan. Some of our core businesses are:

ABM Info Tech (Private) Ltd: ABM IT Services in Pakistan since 1983. One of Pakistan’s leading providers of IT services and solutions
Travel Solutions (Private) Ltd: provider of Global Distribution Systems – representing Travel port (Pakistan and Afghanistan) since

","Shaheed Chaudary Aslam Road, Karachi, Sindh, Pakistan",(9221) 5654981-5,azamsultan@abmgroup.com,http://www.abmgroup.com,Azam Sultan,CEO,https://www.pasha.org.pk/d/l/abm-info-tech-private-limited/
Abtach Limited,"ABTACH Ltd. is a growing IT Company that has been established since 2014. Years of experience has enabled our company and its people to master the art of digital marketing. Our workplaces in USA, China, Pakistan, UAE and South Korea are full of competent individuals who are genuinely committed to help our company prosper all over the globe. Our cooperative and well-learned leaders are the driving force behind the company’s success. It is, thus, our people and their intellect that has made it p
","Khaliq-uz-Zaman Road, Karachi, Sindh, Pakistan 75600",021-32462414,support@abtach.com,http://www.abtach.com,Salman Yousaf,Chief Operation Officer,https://www.pasha.org.pk/d/l/abtach-limited/
Access Group (E-Access) (Pvt.) Ltd.,"Over the years, Access Group has built up one of the largest nationwide support network for servicing its customers spanning over 200 cities, towns and villages across Pakistan.
","Railway Road, Karachi, Sindh, Pakistan",(92 21) 111-111-974,imran.qureshi@access.net.pk,http://www.access.net.pk,Imran Qureshi,President,https://www.pasha.org.pk/d/l/access-group-e-access-private-limited/
Accountancy Outsourcing Services Limited,"The Business Process Outsourcing model is based on understanding the client needs. Systems, training and communication are the key to successful BPO. AOS has worked with two major European clients, Ascot Drummond and Giant Group, to successfully deliver the outsourcing services in the complex accountancy arena.
We believe in continuously enhancing the competencies in the focus areas by continually working closely with our clients and learning from our partners. The success of our projects and
","4 Egerton Road, Lahore, Punjab, Pakistan",042-36316384,waseem.aslam@aoserv.com,http://www.aoserv.com,Waseem Aslam,CEO,https://www.pasha.org.pk/d/l/accountancy-outsourcing-services-limited/
Aciano,"Aciano Technologies specializes in software development, implementation and system integration. Our expertise lies in providing solutions as per customer requirements. Our consultants work closely with customers to understand their problem statement and provide solutions best suited for their respective environment. All our customers whether entrepreneur or established businesses are extremely valued and their needs are catered. We are experts in Magento, Microsoft Dynamics, Sage 300, WordPress,
","D40/1 block L North Nazimabad, Karachi, Sindh, Pakistan",0333-3233471,qamar@aciano.net,http://www.aciano.net,Qamar Ahmed Hafeezi,CEO,https://www.pasha.org.pk/d/l/aciano/
Acrologix (Pvt.) Ltd.,"


<div id='slide-22-layer-5' class='tp-caption tp-layer-selectable tp-resizeme rev_layer_in_group rs-toggle-content-active' data-x='['center','center','center','center']' data-hoffset='['0','0','0','0']' data-y='['middle','middle','middle','middle']' data-voffset='['14','14','28','-2']' data-fontsize='['17','17','17','15']' data-width='['462','462','510','377']' data-height='['none','none','178','none']' data-w


","286-FF, Phase 4, DHA, Lahore, Punjab, Pakistan",(9242) 6617401-3,sakmal@acrologix.com,http://www.acrologix.com,Sheikh Muhammad Akmal,Chairman & CEO,https://www.pasha.org.pk/d/l/acrologix-pvt-ltd/
Acrux Technologies (Pvt.) Ltd.,"Acrux Technologies has ventured into a number of conventional and non-conventional areas ranging from Software Development, ICT Consulting, Internet of  Things, Airport Technologies, Trade Facilitation, Business Process Analysis, Data Analytics, Strategic and Tactical Planning, Multi Weapons Simulator, Facial Recognition, Security and Surveillance.
","201 Street 18, Islamabad, Islamabad Capital Territory, Pakistan",tel: +92 51 844 8772,nasir@acruxtek.com,http://www.acruxtek.com,Nasir uddin Khan,CEO,https://www.pasha.org.pk/d/l/acrux-technologies-pvt-ltd/
AdamSoft International (Pvt.) Ltd.,"Our leadership and technical teams have been carefully selected and share a wealth of experience. Our design team has a history of demonstrated technical results, recognized education and certification milestones acclaimed internationally. What does this mean to you? Our teams have the business savvy, training, and expertise to stay focused on your success.
AdamSoft solution design teams combine the top talent available in
","4 Egerton Road, Lahore, Punjab, Pakistan",(9242) 6317246-8,sohailt@adamsoftintl.com,http://www.adamsoftintl.com,Ch. M. Sohail Tariq,Company Secretary,https://www.pasha.org.pk/d/l/adamsoft-international-pvt-limited/
Adsells Advertising (Pvt.) Ltd.,"Adsells-Group
____

Adsells, a flagship advertising company, epitomizes in innovative branding solutions. Sixty-five years of professional pedigree has placed Adsells at the Vanguard of the industry. We are offering various solutions to a roster
","Street 1, Lahore, Punjab, Pakistan",tel: 04234235140790-2,abbas@adsells.biz,http://adsells.biz,Abbas Mujhaid,CEO,https://www.pasha.org.pk/d/l/adsells-advertising-pvt-ltd/
Advanced Communications,"We usually provide the seed funding ourselves to bring the concept to reality. When the value proposition is more visible, we find venture capitalists and angel investors. We have deep rooted existing contacts with these people and we are continuously improving them for future
","Dhok Mustaqeem Road, Rawalpindi, Punjab, Pakistan",(92 51) 2213248,nauman@advcomm.net,http://www.advcomm.net,Syed Nauman Hashmi,CEO,https://www.pasha.org.pk/d/l/advanced-communications/
Advanced Financial Application (Pvt.) Ltd.,,"16-C, Lane 2, Rahat Commercial Area Phase 6, D.H.A, , PK",(9221) 5843259;  584-4378,info@afapplications.com,http://www.afapplications.com,Faisal Qureshi,CEO,https://www.pasha.org.pk/d/l/advanced-financial-application-pvt-ltd/
Advanced Research Projects and Technologies (Pvt.) Ltd.,"We started in 2003 as a classic information technology service provider with the aim of delivering business solutions to customers worldwide. Today, we are stretched across four continents with offices and customers in US, UK, UAE and Pakistan.
With a strong workforce of more than 250 employees, the company has achieved remarkable milestones. Our gamut of services include software buildup, website development, mobile development, ecommerce store development, call center and customer support, 
","C28/B 24th Commercial Street, Karachi, Sindh, Pakistan",021-5377491-4,jamal.khan@arpatech.com,http://www.arpatech.com,Jamal Akbar Khan,CEO,https://www.pasha.org.pk/d/l/advanced-research-projects-and-technologies-pvt-ltd/
Aekpani Networks,"With representation in Pakistan, UK, Bahrain and Kuwait, Aekpani Networks is a dynamic international organization devoted to serving its customers. We are a team of strategists, designers, developers and IT technologists who help transform your bricks and mortar business into digital organisations. We are leaders in IT and digital innovation helping clients capture new opportunities without worrying about digital security threats.
","Shaheed-e-Millat Expressway, Karachi, Sindh, Pakistan",021-34398741,asim@aekpani.net,http://www.aekpani.net,Muhammad Asim,IT MANAGER,https://www.pasha.org.pk/d/l/aekpani-networks/
Aga Khan University Hospital,"Aga Khan University is a unique hybrid: an institution of academic excellence that is also an agent for social development. A leading source of medical, nursing and teacher education ,research and public service in the developing world, the University prepares men and women to lead  change in their societies and to thrive in the global economy.
Guided by the principles of impact, quality, relevance and access, the University has campuses and programmes in Pakistan , Kenya, Tanzania, 
","Unnamed Road, Karachi, Sindh, Pakistan",92-21-493-0051,amran.chowdhry@aku.edu,http://www.aku.edu,Mr Amran Chowdhry,Director Software Development,https://www.pasha.org.pk/d/l/aga-khan-university-hospital/
AGCN Pakistan (Pvt.) Ltd.,,"172 Tufail Road, Lahore, Punjab, Pakistan",,faisal.rao@agnc-pakistan.com,http://www.agcnpakistan.com,Muhammad Faisal Ahad Rao,CEO,https://www.pasha.org.pk/d/l/agcn-pakistan-pvt-ltd/
Agilitize (Pvt.) Ltd.,"Agilitize is a technology firm focused on developing integrated business solutions and pioneering Health Care applications. Our philosophy is to create agility in work flows to provide impactful solutions for the client, reinvigorating the value chain from end to end. With a multi-pronged focus, we have stepped out to provide our expertise to corporations, family-owned businesses, state-owned enterprises and non-governmental organizations.
","1 Canal Bank Service Road, Lahore, Punjab, Pakistan",tel: +923028288963,bilal@agilitize.org,http://www.agilitize.org,Bilal Mahmood,CEO,https://www.pasha.org.pk/d/l/agilitize-pvt-ltd/
Ahead Host,"Shared hosting is hosting for those people who have small traffic or small websites. Shared hosting provides multiple hosting at a time on a single server. It is used for those people who can’t pay a large amount like dedicated hosting. It is comparatively slower than the dedicated hosting because multiple websites are getting the traffic from the single server.
","Unnamed Road, Hyderabad, Sindh, Pakistan",0335-2502935,muhammadaqib1087@gmail.com,https://www.aheadhostllc.com,Muhammad Aqib,CEO,https://www.pasha.org.pk/d/l/ahead-host/
AI Management Services (AIMS),"AIMS is a professional and trusted IT solutions company dedicated to providing exceptional service to businesses in Pakistan and MENA region. We work with organisations of every size and from every sector.
","Office#1, Plot#2, F-8 Markaz, Islamabad, Islamabad Capital Territory, Pakistan 46000",512287215,info@aimanagement.tech,http://www.aimanagement.tech,Ali Shahan,CEO,https://www.pasha.org.pk/d/l/ai-management-services-aims/
AJ Software (Pvt.) Ltd.,"Credit Objects PTY LTD takes pride in developing state of the art software solutions based on Web 2.0 technologies for businesses that operate in the asset finance industry.
Credit Objects PTY LTD software solution is designed to meet and exceed the requirements of a motor car dealer F&I business managers, asset finance brokers, lenders and insurers.
","Ghalib Road, Lahore, Punjab, Pakistan",tel: 03363331144,ahsan.zubair@creditobjects.com.au,http://www.creditobjects.com.au,Ahsan Zubair,CEO,https://www.pasha.org.pk/d/l/aj-software-private-limited/
AKSA Solutions Development Services (Pvt.) Ltd.,"A leading technology company that provides reliable and trusted next-generation hardware and software solutions using the latest innovative technologies.
","Plot # 359, Street # 05, I-9/3, Islamabad, Islamabad Capital Territory, Pakistan 46000","(9251) 2828176, 2827582-3",waseem@aksa-SDS.Com,http://www.aksa-sds.com,Ch. Waseem Fazal,President,https://www.pasha.org.pk/d/l/aksa-solutions-development-services-pvt-limited/
Al-Rehman Technologies,"After having suffered at the hands of different digital marketing agencies in Pakistan, our CEO aimed to create the first company in Pakistan that offered a seamless solution to the clients without extracting a fortune out of them.

Hence, ART was formed a decade ago with the aim to disrupt the working methodology and to create bespoke software and marketing solutions that fulfilled each and every wish of the client.
","Shahrah-e-Faisal Road, Karachi, Sindh, Pakistan","8525970-1, 2782272-3",irfan@al-rehman.com,http://www.Al-Rehman.com,Irfan A. Rehman,CEO,https://www.pasha.org.pk/d/l/al-rehman-technologies/
Alchemy Technologies (Pvt.) Ltd.,"Created by a team of risk professionals with the objective of helping people learn, understand and apply quantitative and computational finance tools. For many years, we looked for a resource that we could use for training our new team members within the domain of risk management. This site is the public face of that internal tool used to train clients and employees on advance topics in computational and quantitative finance.
","166 Block 7/8, KMCHS, Karachi, Sindh, Pakistan",(92-21) 4556431; 4544745,jawwad@financetrainingcourse.com,http://www.alchemya.com,Jawwad Ahmed Farid,CEO,https://www.pasha.org.pk/d/l/alchemy-technologies-pvt-ltd/
Alfoze Technologies (Pvt.) Ltd.,"To be considered a trusted partner in Connected World.
We are working to enrich Social & Technology experience of people, society and markets
","Unnamed Road, Islamabad, Islamabad Capital Territory, Pakistan",,muazzam.arslan@alfoze.com,http://www.alfoze.com,Muazzam Arslan Bhatti,CEO,https://www.pasha.org.pk/d/l/alfoze-technologies-pvt-ltd/
Algorithm Consulting (Pvt.) Ltd.,"AlgoERP is extremely adaptable to the needs of the manufacturers of Apparel and Home Textile products.
AlgoERP provides a comprehensive set of Modules specially designed for the Apparel & Textile’s Make-to-Order manufacturing environment. All business divisions and systems can now work together and give you the ability to unify and streamline every aspect of your enterprise.
<span class='P-2_Heading
","Eidgah Road, Karachi, Sindh, Pakistan",021 5090954-6,saquib@algorithm.com.pk.pk,http://www.algorithm.com.pk,Syed Saquib Saeed,CEO,https://www.pasha.org.pk/d/l/algorithm-consulting-pvt-limited/
Algotrek Technology Consulting,"Algotrek is an engineering spinoff of Align Technology – a multibillion dollar medical devices firm. Our core team has experience in setting up 2 Silicon Valley startups, developing for the IBM/EPFL Blue Brain project, financial applications for Goldman Sachs and developing a diverse set of mobile and web applications.
","7 Tariq Road, Karachi, Sindh, Pakistan 74600",021 34321115,omair@algotrek.com,http://www.algotrek.com,Omair Aslam,CEO,https://www.pasha.org.pk/d/l/algotrek-technology-consulting/
Allainet (Pvt.) Ltd.,"With each assignment, our clients entrust their business challenges to us. And with each launch, we find the unique opportunity that lies within. All our business practices are structured to dig deep into the needs of our clients and develop a solution that captures market share. With every venture we become stronger, faster and take the scalability to a whole new level. We do not provide cheap solutions; we provide value with timely and measurable return on investment..
","Murree Rd, Rawalpindi, Punjab, Pakistan",tel: 051-4573225 - 4573226,israr@allainet.com,http://www.allainet.com,Israr Ahmad,CTO,https://www.pasha.org.pk/d/l/allainet-pvt-ltd/
Alp Business Service Management (Pvt.) Ltd.,,"243 Street 9, Lahore, Punjab, Pakistan",(9242) 6625261-2,mozam@alp-bsm.com,www.alp-bsm.com,Mozam A Mir,Chairman & CEO,https://www.pasha.org.pk/d/l/alp-business-service-management-pvt-ltd/
Alt Source Communications,,"40-C Block 6 P.E.C.H.S, Karachi, Sindh, Pakistan",4541960-7,info@alt-source.com,,,,https://www.pasha.org.pk/d/l/alt-source-communications/
Amaana (Pvt.) Ltd.,,"70-C-1, Gulberg-III, Lahore, Punjab, Pakistan",(9242) 5875494,ammana_07@yahoo.com,www.amaana.com,Asim Hamza,Manager Operations,https://www.pasha.org.pk/d/l/amaana-pvt-limited/
AMID Tech,"A link of science enthusiasts, business practitioners and everyday native humans, rendering Business System Development Services.
At Amid Tech, human experience is the core to strategic software development where knowledge, time and skill are integrated to transform digital experience.
By combining the tech with your understanding of your customers and your business, we deliver solutions and experiences that drive commercial value for you.
MISSION
<p class='fe
","265 Sarwar Shaheed Road, Karachi, Sindh, Pakistan",021-35211703,ali@amid.tech,http://www.amid.tech/,Ali Raza Sheikh,Managing Director,https://www.pasha.org.pk/d/l/amid-tech/
AMOS Global (Pvt.) Ltd.,,"23 Canal Road, Lahore, Punjab, Pakistan",(9242) 5884981-85,a.shore@amos-global.com,www.amos-global.com,Azhar H. Shore,CEO,https://www.pasha.org.pk/d/l/amos-global-pvt-ltd/
AMZ Access (Pvt.) Ltd.,,"Doctor Ziauddin Ahmed Road, Karachi, Sindh, Pakistan",(9221) 2219761; 111-269-111,fauzia.hasnain@amzsec.com,www.amzaccess.com,Fauzia Hasnain,CEO,https://www.pasha.org.pk/d/l/amz-access-pvt-ltd/
ANA Soft,,"No. 12, St. 30, F-6/1 , Islamabad, Islamabad Capital Territory, Pakistan",(9251) 2827702,info@ana-soft.com,,,,https://www.pasha.org.pk/d/l/ana-soft/
APEX Consulting Pakistan,,"61-A Nazim-ud-din Road, Islamabad, Islamabad Capital Territory, Pakistan",052-2800397 ext: 3110,sardar.ali@apexconsulting.biz,http://www.apexconsulting.biz,Syed Sardar Ali,CEO,https://www.pasha.org.pk/d/l/apex-consulting-pakistan/
ApoyoTech,"Apoyo Tech is one of the fastest growing BPO solutions provider and a leading exporter of IT services from Pakistan. With an exponential growth rate and a current resource pool of highly qualified and trained personnel, Apoyo Tech offers award winning global services with 24/7 support for all its clients through best of breed IT Infrastructure and support function and 2 fully redundant facilities.
Apoyo Tech understands the diverse technological needs and demands of a global enterprise. With 
","Agha Khan Road, Islamabad, Islamabad Capital Territory, Pakistan",0334-5655598,apoyotech.solutions@gmail.com,http://www.apoyotech.com.pk,Muhammad Suleman Khan,CEO,https://www.pasha.org.pk/d/l/apoyotech/
